City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,33.44,81,49,8.23,GS,1697041563
1,adamstown,-25.066,-130.1015,68.54,71,73,12.06,PN,1697041563
2,prineville,44.2999,-120.8345,50.11,73,75,10.36,US,1697041564
3,tolanaro,-25.0319,46.9987,69.87,94,75,13.8,MG,1697041564
4,port-aux-francais,-49.35,70.2167,36.75,69,100,24.23,TF,1697041565
5,byron bay,-28.65,153.6167,58.71,83,5,6.04,AU,1697041393
6,tiksi,71.6872,128.8694,21.29,86,99,21.32,RU,1697041566
7,letterkenny,54.95,-7.7333,55.29,64,61,7.49,IE,1697041566
8,nampula,-15.1165,39.2666,85.95,51,20,14.97,MZ,1697041312
9,la mira tumbiscatio,18.6833,-102.2833,72.28,97,100,2.39,MX,1697041567
10,invercargill,-46.4,168.35,49.01,87,80,18.01,NZ,1697041568
11,waitangi,-43.9535,-176.5597,52.83,86,94,8.99,NZ,1697041568
12,la ronge,55.1001,-105.2842,48.45,61,0,13.8,CA,1697041569
13,la'ie,21.6477,-157.9253,80.56,73,99,5.99,US,1697041569
14,ushuaia,-54.8,-68.3,44.26,71,0,31.07,AR,1697041570
15,sejenane,37.0572,9.2381,79.75,30,21,12.21,TN,1697041570
16,nova sintra,14.8667,-24.7167,76.5,61,40,1.79,CV,1697041570
17,blackmans bay,-43.0167,147.3167,59.13,82,28,9.51,AU,1697041571
18,kailua-kona,19.6406,-155.9956,75.6,80,20,5.99,US,1697041563
19,turar ryskulov,42.5333,70.3333,65.14,33,3,6.42,KZ,1697041572
20,flying fish cove,-10.4217,105.6791,76.68,94,100,9.22,CX,1697041572
21,talnakh,69.4865,88.3972,33.21,98,100,3.87,RU,1697041573
22,port elizabeth,-33.918,25.5701,67.1,83,0,6.91,ZA,1697041573
23,west island,-12.1568,96.8225,78.78,83,24,11.5,CC,1697041573
24,hawaiian paradise park,19.5933,-154.9731,71.11,90,100,4.61,US,1697041574
25,bol,13.4586,14.7147,84.61,61,44,11.88,TD,1697041574
26,zhangatas,43.5667,69.75,61.14,41,15,7.29,KZ,1697041575
27,belmonte,-15.8631,-38.8828,81.72,61,65,9.44,BR,1697041575
28,edinburgh of the seven seas,-37.0676,-12.3116,57.99,92,100,27.51,SH,1697041576
29,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,73,40,15.01,RU,1697041576
30,lionel town,17.8101,-77.2406,89.49,59,39,13.11,JM,1697041577
31,lycksele,64.5954,18.6735,39.07,93,100,11.5,SE,1697041577
32,college,64.8569,-147.8028,24.75,86,100,0.0,US,1697041578
33,okhtyrka,50.3104,34.8988,42.66,37,68,8.3,UA,1697041578
34,dongola,19.1667,30.4833,97.77,14,1,17.45,SD,1697041578
35,hamilton,39.1834,-84.5333,67.57,49,40,6.91,US,1697041579
36,margaret river,-33.95,115.0667,48.79,85,0,8.93,AU,1697041579
37,ar rutbah,33.0381,40.2848,79.77,32,100,5.75,IQ,1697041580
38,assomada,15.1,-23.6833,81.95,64,86,1.45,CV,1697041580
39,northam,51.0333,-4.2167,64.26,93,100,17.98,GB,1697041581
40,cockburn town,21.4612,-71.1419,84.49,78,47,16.37,TC,1697041581
41,bethel,41.3712,-73.414,68.63,54,40,11.5,US,1697041582
